id,y
1,196045.44526105945
2,2458596.34007842
3,793338.6503246893
4,176448.8100874147
5,184.66966215760948
6,12233638.830038361
7,254286.67530805987
8,261810.0181484602
9,543000.3210434628
10,20025.399123530693
11,175539.91588040313
12,1650760.217879939
13,78522.17878441735
14,4376090.2279587295
15,2596919.020443356
16,986439.4535686333
17,1393138.4856179035
18,78713.067577447
19,29953.837380083984
20,6803.06193613234
21,26024.825927711998
22,10365.087610557586
23,53425.19012369805
24,632929.6712946175
25,2369128.362274361
26,189753.47201947824
27,386.1385214004952
28,213892.86730792496
29,304954.12400385237
30,504586.7812907781
31,1043973.4676915386
32,2365595.27859071
33,51018.670893822826
34,12905.374684421731
35,948081.5164812785
36,8468.738663029186
37,462254.62071356527
38,145811.57952151948
39,894882.6673618963
40,4090.8061510807834
41,467298.7605290277
42,973467.0306274197
43,15465.463475170694
44,2632363.7853962714
45,1004094.1373460542
46,3696517.739471973
47,96017.91245713564
48,1462427.2788526276
49,619871.1372636346
50,688506.1262373743
51,132579.339652411
52,160231.24754523637
53,3126625.207329776
54,147641.09107128484
55,215439.31624296575
56,415324187.535336
57,1216247.6799318772
58,39364.10732941233
59,277557.28456820466
60,4840746.182832204
61,137648.61021369044
62,14634.987345793688
63,8860326.430435447
64,25619.364997528814
65,445360.04809901456
66,281536.3680712618
67,31986.858229544567
68,36068.84079056012
69,939903.6344886584
70,690169.6976094167
71,6938.191424904157
72,89199.07228595842
73,1495771.0223290876
74,577037.7578116881
75,3433919.978641341
76,420876.23766874894
77,287920.89162421634
78,2187347.5108834435
79,668292.9506441734
80,978.3929557558724
81,181124.73520622004
82,18884.544368920677
83,7725796.656555823
84,4299549.27273778
85,162917.20390051347
86,422292.2732334202
87,11034.255256728286
88,2085575.5418844065
89,47279.450838297416
90,18229532.081606552
91,4059.6329566030363
92,110272.41731434324
93,433632.5551649642
94,94844.97180569243
95,58261.69005236248
96,21272509.37989687
97,356969.6775432926
98,389550.64001396665
99,958526.8901526579
100,29870.464923963315
101,2112684.798867905
102,554917.3937167258
103,223543.2273292055
104,3360072.924461835
105,59756.752653320276
106,125940.32338514595
107,265503.1082330323
108,37867.02910825987
109,1860226.0139807994
110,2391255.5304300576
111,1619344.3571338034
112,10029364.01625969
113,302407.9524137858
114,1346552.1765362462
115,4022372.7829677304
116,337052.399800587
117,340785.97685462097
118,119589.51571713181
119,889705.5320804232
120,1777234.3487770085
121,126237.2060402536
122,607683.7302342113
123,21060.051255207272
124,1771732.0240618407
125,50086.90882616014
126,799352.959351784
127,31191.261612728355
128,479310.3232388494
129,342492.3089390078
130,14773.395088891168
131,109876.49299769473
132,84390.05794572912
133,1052817.7423120055
134,79551.69412787666
135,45735.58949891449
136,24558.720079020233
137,268016.5279328653
138,7471690.42332171
139,113651.92336322449
140,69312.44449759515
141,70586.77964066323
142,11247073.86489982
143,261739.8064652923
144,5165662.512336261
145,409312.2338856123
146,36115.059771713844
147,124829.57339725227
148,1361.4080497611033
149,26681002.88768288
150,28780.70941134185
151,417082.1879834024
152,277659.73963737814
153,1716346.0192306382
154,841883.8345824201
155,232590.79952537993
156,1884698.4225895712
157,4259497.959780791
158,125142.30316633891
159,77005851.80820586
160,1677173.5064854426
161,1404792.0905314856
162,372378.3264222405
163,7467940.036393888
164,514227.8268331609
165,16061.884760880645
166,85492.37098503669
167,978360.7059304675
